,road_index,bridge,code,fclass,geometry,layer,maxspeed,name,oneway,osm_id,ref,tunnel,houses,colour,linewidth,status,x,y
0,3681,F,5113,primary,"LINESTRING (-1.2276444 51.6069008, -1.2276806 51.6068775, -1.2277274 51.6068634, -1.2277898 51.6068607, -1.2278392 51.6068707, -1.2278802 51.6068907, -1.2279104 51.6069226, -1.2279185 51.6069545, -1.2278988 51.606999, -1.2278655 51.6070239, -1.2278206 51.6070402, -1.2277904 51.6070449, -1.2277384 51.607044, -1.22769 51.6070321, -1.2276544 51.6070131, -1.2276281 51.6069852, -1.2276188 51.6069534, -1.2276275 51.6069215, -1.2276444 51.6069008)",0,48,,B,4436744,,F,,Red,3,No,"[-1.2276444, -1.2276806, -1.2277274, -1.2277898, -1.2278392, -1.2278802, -1.2279104, -1.2279185, -1.2278988, -1.2278655, -1.2278206, -1.2277904, -1.2277384, -1.22769, -1.2276544, -1.2276281, -1.2276188, -1.2276275, -1.2276444]","[51.6069008, 51.6068775, 51.6068634, 51.6068607, 51.6068707, 51.6068907, 51.6069226, 51.6069545, 51.606999, 51.6070239, 51.6070402, 51.6070449, 51.607044, 51.6070321, 51.6070131, 51.6069852, 51.6069534, 51.6069215, 51.6069008]"
1,6109,F,5113,primary,"LINESTRING (-1.2298843 51.6169309, -1.2299075 51.6168984, -1.2299473 51.6168727, -1.2299988 51.6168571, -1.2300817 51.6168557, -1.2301345 51.6168696, -1.2301764 51.6168939, -1.2302025 51.6169256, -1.2302094 51.616961, -1.2302026 51.6169853, -1.2301767 51.617017, -1.2301349 51.6170414, -1.2300822 51.6170554, -1.230005 51.6170551, -1.2299526 51.6170407, -1.2299112 51.6170161, -1.2298859 51.6169841, -1.2298798 51.6169487, -1.2298843 51.6169309)",0,80,,B,4815437,,F,,Red,3,No,"[-1.2298843, -1.2299075, -1.2299473, -1.2299988, -1.2300817, -1.2301345, -1.2301764, -1.2302025, -1.2302094, -1.2302026, -1.2301767, -1.2301349, -1.2300822, -1.230005, -1.2299526, -1.2299112, -1.2298859, -1.2298798, -1.2298843]","[51.6169309, 51.6168984, 51.6168727, 51.6168571, 51.6168557, 51.6168696, 51.6168939, 51.6169256, 51.616961, 51.6169853, 51.617017, 51.6170414, 51.6170554, 51.6170551, 51.6170407, 51.6170161, 51.6169841, 51.6169487, 51.6169309]"
2,6110,F,5113,primary,"LINESTRING (-1.2277904 51.6070449, -1.2277518 51.6074035, -1.2276734 51.6076347, -1.2275359 51.6078975, -1.2272849 51.6083629, -1.2269637 51.6090195, -1.2268585 51.6092072, -1.2267457 51.6094123, -1.226656 51.6095643, -1.2264162 51.6099876, -1.2262406 51.6103258, -1.2259458 51.6108937, -1.2258596 51.6110533, -1.2253935 51.6120931, -1.2254561 51.6122627)",0,48,Abingdon Road,B,4815493,A4130,F,,SpringGreen,3,Yes,"[-1.2277904, -1.2277518, -1.2276734, -1.2275359, -1.2272849, -1.2269637, -1.2268585, -1.2267457, -1.226656, -1.2264162, -1.2262406, -1.2259458, -1.2258596, -1.2253935, -1.2254561]","[51.6070449, 51.6074035, 51.6076347, 51.6078975, 51.6083629, 51.6090195, 51.6092072, 51.6094123, 51.6095643, 51.6099876, 51.6103258, 51.6108937, 51.6110533, 51.6120931, 51.6122627]"
3,6111,F,5113,primary,"LINESTRING (-1.2254186 51.6124001, -1.2253452 51.61245, -1.2251151 51.6127021, -1.2248783 51.6130293, -1.2245245 51.6136687, -1.2242252 51.614235)",0,48,Abingdon Road,B,4815494,A4130,F,,SpringGreen,3,Yes,"[-1.2254186, -1.2253452, -1.2251151, -1.2248783, -1.2245245, -1.2242252]","[51.6124001, 51.61245, 51.6127021, 51.6130293, 51.6136687, 51.614235]"
4,6112,F,5113,primary,"LINESTRING (-1.2242252 51.614235, -1.2243207 51.6142783, -1.2245323 51.6143793, -1.2249744 51.6147159, -1.2257154 51.615211, -1.2266807 51.61571, -1.2279381 51.6162644, -1.2295169 51.6168305, -1.2298843 51.6169309)",0,80,Northern Perimeter Road,B,4815495,A4130,F,,Red,3,No,"[-1.2242252, -1.2243207, -1.2245323, -1.2249744, -1.2257154, -1.2266807, -1.2279381, -1.2295169, -1.2298843]","[51.614235, 51.6142783, 51.6143793, 51.6147159, 51.615211, 51.61571, 51.6162644, 51.6168305, 51.6169309]"
5,6113,F,5113,primary,"LINESTRING (-1.2302026 51.6169853, -1.231804 51.6174662, -1.2329066 51.6178143, -1.2331433 51.617889)",0,80,Northern Perimeter Road,B,4815496,A4130,F,,Red,3,No,"[-1.2302026, -1.231804, -1.2329066, -1.2331433]","[51.6169853, 51.6174662, 51.6178143, 51.617889]"
6,6962,F,5115,tertiary,"LINESTRING (-1.2387791 51.6108184, -1.2388943 51.6106632, -1.2389525 51.6105806)",0,0,Cow Lane,F,5931993,,F,,Red,1,No,"[-1.2387791, -1.2388943, -1.2389525]","[51.6108184, 51.6106632, 51.6105806]"
7,8943,F,5113,primary,"LINESTRING (-1.238572 51.6209336, -1.2396618 51.6211866, -1.2411432 51.6214607, -1.242119 51.621707, -1.2430637 51.622065)",0,80,Northern Perimeter Road,B,19783830,A4130,F,,Red,3,No,"[-1.238572, -1.2396618, -1.2411432, -1.242119, -1.2430637]","[51.6209336, 51.6211866, 51.6214607, 51.621707, 51.622065]"
8,8944,F,5113,primary,"LINESTRING (-1.238572 51.6209336, -1.2385572 51.6209661, -1.2385253 51.6209936, -1.2384801 51.6210126, -1.2384273 51.6210209, -1.2383653 51.621016, -1.2383175 51.6209997, -1.2382816 51.6209742, -1.2382618 51.6209426, -1.238266 51.6208947, -1.238291 51.6208646, -1.2383311 51.6208416, -1.2383814 51.6208286, -1.2384358 51.620827, -1.2384684 51.6208318, -1.2385159 51.6208485, -1.2385512 51.6208743, -1.2385702 51.620906, -1.238572 51.6209336)",0,80,,B,19783833,,F,,Red,3,No,"[-1.238572, -1.2385572, -1.2385253, -1.2384801, -1.2384273, -1.2383653, -1.2383175, -1.2382816, -1.2382618, -1.238266, -1.238291, -1.2383311, -1.2383814, -1.2384358, -1.2384684, -1.2385159, -1.2385512, -1.2385702, -1.238572]","[51.6209336, 51.6209661, 51.6209936, 51.6210126, 51.6210209, 51.621016, 51.6209997, 51.6209742, 51.6209426, 51.6208947, 51.6208646, 51.6208416, 51.6208286, 51.620827, 51.6208318, 51.6208485, 51.6208743, 51.620906, 51.6209336]"
9,13325,F,5122,residential,"LINESTRING (-1.2384684 51.6208318, -1.2386655 51.6205831, -1.2390002 51.6203006, -1.2391289 51.6201781, -1.2392062 51.6200608, -1.2393779 51.619837, -1.2394894 51.6196079, -1.2395409 51.6194427, -1.2395807 51.6192705, -1.2395839 51.618995, -1.2395409 51.6188298, -1.239498 51.6186859, -1.2393779 51.6184728, -1.2391804 51.618201, -1.2390775 51.6179825, -1.2390689 51.6178119, -1.2390689 51.6176308, -1.2391118 51.6174442, -1.2392148 51.6172684, -1.2393779 51.6170872, -1.2396073 51.6168814, -1.2397298 51.6167781, -1.2399186 51.6166715, -1.2403306 51.6165116, -1.2405366 51.6164103, -1.2407597 51.6162984, -1.2410086 51.6161598, -1.2412747 51.6159893, -1.2414721 51.6158241, -1.2416009 51.6156908, -1.2416781 51.6156322, -1.2416352 51.6156002, -1.2416438 51.6155629, -1.241661 51.615531, -1.2417296 51.6155043, -1.2417983 51.6155096, -1.2418412 51.615531, -1.2418498 51.6155736, -1.2418326 51.6156216, -1.241764 51.6156429, -1.2416781 51.6156322)",0,0,Avon Way,B,24619445,,F,,Red,1,No,"[-1.2384684, -1.2386655, -1.2390002, -1.2391289, -1.2392062, -1.2393779, -1.2394894, -1.2395409, -1.2395807, -1.2395839, -1.2395409, -1.239498, -1.2393779, -1.2391804, -1.2390775, -1.2390689, -1.2390689, -1.2391118, -1.2392148, -1.2393779, -1.2396073, -1.2397298, -1.2399186, -1.2403306, -1.2405366, -1.2407597, -1.2410086, -1.2412747, -1.2414721, -1.2416009, -1.2416781, -1.2416352, -1.2416438, -1.241661, -1.2417296, -1.2417983, -1.2418412, -1.2418498, -1.2418326, -1.241764, -1.2416781]","[51.6208318, 51.6205831, 51.6203006, 51.6201781, 51.6200608, 51.619837, 51.6196079, 51.6194427, 51.6192705, 51.618995, 51.6188298, 51.6186859, 51.6184728, 51.618201, 51.6179825, 51.6178119, 51.6176308, 51.6174442, 51.6172684, 51.6170872, 51.6168814, 51.6167781, 51.6166715, 51.6165116, 51.6164103, 51.6162984, 51.6161598, 51.6159893, 51.6158241, 51.6156908, 51.6156322, 51.6156002, 51.6155629, 51.615531, 51.6155043, 51.6155096, 51.615531, 51.6155736, 51.6156216, 51.6156429, 51.6156322]"
